zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
08815,Area 815,Middlesex,Area 815 (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08816,East Brunswick,Middlesex,East Brunswick (Middlesex),141731,48965,2267,0.046,41.6,10,1.02,129.6,4.8,census_comprehensive
08817,Edison,Middlesex,Edison (Middlesex),109734,47924,3373,0.07,38.1,4,0.42,129.6,6.1,census_comprehensive
08818,Edison,Middlesex,Edison (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08820,Edison,Middlesex,Edison (Middlesex),168453,39392,1375,0.035,42.6,4,0.51,129.6,4.0,census_comprehensive
08821,Flagtown,Middlesex,Flagtown (Middlesex),122857,375,0,0.0,40.6,3,40.0,129.6,5.5,census_comprehensive
08822,Flemington,Middlesex,Flemington (Middlesex),137698,32002,1322,0.041,42.7,9,1.41,129.6,4.9,census_comprehensive
08823,Franklin Park,Middlesex,Franklin Park (Middlesex),109182,8873,632,0.071,39.8,11,6.2,129.6,6.2,census_comprehensive
08824,Kendall Park,Middlesex,Kendall Park (Middlesex),180888,13866,342,0.025,46.1,4,1.44,129.6,3.7,census_comprehensive
08825,Frenchtown,Somerset,Frenchtown (Somerset),104750,4639,228,0.049,47.3,7,7.54,132.0,6.5,census_comprehensive
08826,Glen Gardner,Middlesex,Glen Gardner (Middlesex),119576,5255,333,0.063,47.4,6,5.71,129.6,5.6,census_comprehensive
08827,Hampton,Middlesex,Hampton (Middlesex),128589,4139,231,0.056,44.8,12,14.5,129.6,5.2,census_comprehensive
08828,Helmetta,Middlesex,Helmetta (Middlesex),104143,2317,67,0.029,39.5,4,8.63,129.6,6.5,census_comprehensive
08829,High Bridge,Somerset,High Bridge (Somerset),116424,3584,136,0.038,38.4,9,12.56,132.0,5.9,census_comprehensive
08830,Iselin,Middlesex,Iselin (Middlesex),112615,19151,1223,0.064,38.4,9,2.35,129.6,6.0,census_comprehensive
08831,Jamesburg,Middlesex,Jamesburg (Middlesex),108741,54608,2195,0.04,54.9,10,0.92,129.6,6.2,census_comprehensive
08832,Keasbey,Middlesex,Keasbey (Middlesex),65948,2793,677,0.242,29.0,1,1.79,129.6,10.2,census_comprehensive
08833,Lebanon,Middlesex,Lebanon (Middlesex),163500,8772,177,0.02,50.2,7,3.99,129.6,4.1,census_comprehensive
08834,Little York,Middlesex,Little York (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08835,Manville,Middlesex,Manville (Middlesex),93872,10870,1335,0.123,42.4,8,3.68,129.6,7.2,census_comprehensive
08836,Martinsville,Middlesex,Martinsville (Middlesex),237935,4326,52,0.012,38.5,6,6.93,129.6,2.8,census_comprehensive
08837,Edison,Middlesex,Edison (Middlesex),107948,19954,929,0.047,36.0,10,2.51,129.6,6.2,census_comprehensive
08839,Area 839,Middlesex,Area 839 (Middlesex),65000,15000,1800,0.12,38.0,5,1.67,129.6,10.4,census_comprehensive
08840,Metuchen,Middlesex,Metuchen (Middlesex),150938,17934,834,0.047,39.4,7,1.95,129.6,4.5,census_comprehensive
08841,Area 841,Middlesex,Area 841 (Middlesex),65000,15000,1800,0.12,38.0,12,4.0,129.6,10.4,census_comprehensive
08842,Area 842,Middlesex,Area 842 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08843,Area 843,Middlesex,Area 843 (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08844,Hillsborough,Middlesex,Hillsborough (Middlesex),153785,43708,1234,0.028,42.1,3,0.34,129.6,4.4,census_comprehensive
08845,Area 845,Middlesex,Area 845 (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08846,Middlesex,Middlesex,Middlesex (Middlesex),107063,14518,1155,0.08,44.3,4,1.38,129.6,6.3,census_comprehensive
08847,Area 847,Middlesex,Area 847 (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08850,Milltown,Middlesex,Milltown (Middlesex),127331,8442,122,0.014,42.1,8,4.74,129.6,5.3,census_comprehensive
08851,Area 851,Middlesex,Area 851 (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08852,Monmouth Junction,Middlesex,Monmouth Junction (Middlesex),121771,17333,1034,0.06,40.5,9,2.6,129.6,5.5,census_comprehensive
08853,Neshanic Station,Somerset,Neshanic Station (Somerset),213074,5415,11,0.002,48.1,5,4.62,132.0,3.2,census_comprehensive
08854,Piscataway,Middlesex,Piscataway (Middlesex),126331,60405,2766,0.046,33.6,1,0.08,129.6,5.3,census_comprehensive
08855,Piscataway,Middlesex,Piscataway (Middlesex),65000,15000,1800,0.12,38.0,1,0.33,129.6,10.4,census_comprehensive
08857,Old Bridge,Middlesex,Old Bridge (Middlesex),101192,40409,3162,0.078,42.9,10,1.24,129.6,6.7,census_comprehensive
08858,Oldwick,Middlesex,Oldwick (Middlesex),65000,0,0,0.12,-666666666.0,11,0,129.6,10.4,census_comprehensive
08859,Parlin,Middlesex,Parlin (Middlesex),96593,24284,1471,0.061,38.7,9,1.85,129.6,7.0,census_comprehensive
08860,Area 860,Middlesex,Area 860 (Middlesex),65000,15000,1800,0.12,38.0,1,0.33,129.6,10.4,census_comprehensive
08862,Perth Amboy,Middlesex,Perth Amboy (Middlesex),65000,15000,1800,0.12,38.0,1,0.33,129.6,10.4,census_comprehensive
08863,Fords,Middlesex,Fords (Middlesex),116250,13052,665,0.051,39.5,4,1.53,129.6,5.8,census_comprehensive
08864,Area 864,Middlesex,Area 864 (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08865,Phillipsburg,Middlesex,Phillipsburg (Middlesex),78519,31078,3980,0.128,43.2,2,0.32,129.6,8.6,census_comprehensive
08866,Area 866,Middlesex,Area 866 (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08868,Quakertown,Middlesex,Quakertown (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08869,Raritan,Middlesex,Raritan (Middlesex),103699,8192,571,0.07,43.1,3,1.83,129.6,6.5,census_comprehensive
08873,Somerset,Somerset,Somerset (Somerset),117866,55862,3544,0.063,40.3,5,0.45,132.0,5.8,census_comprehensive
08875,Somerset,Somerset,Somerset (Somerset),65000,15000,1800,0.12,38.0,5,1.67,132.0,10.6,census_comprehensive
08876,Somerville,Somerset,Somerville (Somerset),120823,22902,1270,0.055,39.7,6,1.31,132.0,5.7,census_comprehensive
08880,South Bound Brook,Somerset,South Bound Brook (Somerset),102019,4833,794,0.164,35.4,5,5.17,132.0,6.7,census_comprehensive
08882,South River,Somerset,South River (Somerset),101853,16007,1803,0.113,36.5,3,0.94,132.0,6.7,census_comprehensive
08887,Three Bridges,Somerset,Three Bridges (Somerset),104091,1377,84,0.061,40.3,3,10.89,132.0,6.6,census_comprehensive
08888,Whitehouse,Hunterdon,Whitehouse (Hunterdon),65000,15000,1800,0.12,38.0,2,0.67,133.2,10.6,census_comprehensive
08889,Whitehouse Station,Somerset,Whitehouse Station (Somerset),147048,10539,409,0.039,52.1,1,0.47,132.0,4.7,census_comprehensive
08896,Raritan,Somerset,Raritan (Somerset),65000,15000,1800,0.12,38.0,12,4.0,132.0,10.6,census_comprehensive
08899,Edison,Somerset,Edison (Somerset),65000,15000,1800,0.12,38.0,9,3.0,132.0,10.6,census_comprehensive
08901,New Brunswick,Middlesex,New Brunswick (Middlesex),60248,56766,15130,0.267,24.1,2,0.18,129.6,11.2,census_comprehensive
08902,North Brunswick,Middlesex,North Brunswick (Middlesex),117671,43146,3220,0.075,38.4,1,0.12,129.6,5.7,census_comprehensive
08903,New Brunswick,Middlesex,New Brunswick (Middlesex),65000,15000,1800,0.12,38.0,11,3.67,129.6,10.4,census_comprehensive
08904,Highland Park,Middlesex,Highland Park (Middlesex),101991,14981,1381,0.092,34.6,6,2.0,129.6,6.6,census_comprehensive
08905,New Brunswick,Middlesex,New Brunswick (Middlesex),65000,15000,1800,0.12,38.0,1,0.33,129.6,10.4,census_comprehensive
08906,New Brunswick,Middlesex,New Brunswick (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08907,Area 907,Middlesex,Area 907 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08908,Area 908,Middlesex,Area 908 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08909,Area 909,Middlesex,Area 909 (Middlesex),65000,15000,1800,0.12,38.0,12,4.0,129.6,10.4,census_comprehensive
08910,Area 910,Middlesex,Area 910 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08911,Area 911,Middlesex,Area 911 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08912,Area 912,Middlesex,Area 912 (Middlesex),65000,15000,1800,0.12,38.0,11,3.67,129.6,10.4,census_comprehensive
08913,Area 913,Middlesex,Area 913 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08914,Area 914,Middlesex,Area 914 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08915,Area 915,Middlesex,Area 915 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08916,Area 916,Middlesex,Area 916 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08917,Area 917,Middlesex,Area 917 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08918,Area 918,Middlesex,Area 918 (Middlesex),65000,15000,1800,0.12,38.0,12,4.0,129.6,10.4,census_comprehensive
08920,Area 920,Middlesex,Area 920 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08921,Area 921,Middlesex,Area 921 (Middlesex),65000,15000,1800,0.12,38.0,11,3.67,129.6,10.4,census_comprehensive
08922,New Brunswick,Middlesex,New Brunswick (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08923,Area 923,Middlesex,Area 923 (Middlesex),65000,15000,1800,0.12,38.0,4,1.33,129.6,10.4,census_comprehensive
08924,Area 924,Middlesex,Area 924 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08926,Area 926,Middlesex,Area 926 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08927,Area 927,Middlesex,Area 927 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08928,Area 928,Middlesex,Area 928 (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08930,Area 930,Middlesex,Area 930 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08931,Area 931,Middlesex,Area 931 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08932,Area 932,Middlesex,Area 932 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08933,New Brunswick,Middlesex,New Brunswick (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08934,Area 934,Middlesex,Area 934 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08935,Area 935,Middlesex,Area 935 (Middlesex),65000,15000,1800,0.12,38.0,5,1.67,129.6,10.4,census_comprehensive
08936,Area 936,Middlesex,Area 936 (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08937,Area 937,Middlesex,Area 937 (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08939,Area 939,Middlesex,Area 939 (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08940,Area 940,Middlesex,Area 940 (Middlesex),65000,15000,1800,0.12,38.0,9,3.0,129.6,10.4,census_comprehensive
08941,Area 941,Middlesex,Area 941 (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08942,Area 942,Middlesex,Area 942 (Middlesex),65000,15000,1800,0.12,38.0,12,4.0,129.6,10.4,census_comprehensive
08943,Area 943,Middlesex,Area 943 (Middlesex),65000,15000,1800,0.12,38.0,3,1.0,129.6,10.4,census_comprehensive
08944,Area 944,Middlesex,Area 944 (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08945,Area 945,Middlesex,Area 945 (Middlesex),65000,15000,1800,0.12,38.0,6,2.0,129.6,10.4,census_comprehensive
08946,Area 946,Middlesex,Area 946 (Middlesex),65000,15000,1800,0.12,38.0,8,2.67,129.6,10.4,census_comprehensive
08947,Area 947,Middlesex,Area 947 (Middlesex),65000,15000,1800,0.12,38.0,4,1.33,129.6,10.4,census_comprehensive
