zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
08126,Area 126,Camden,Area 126 (Camden),65000,15000,1800,0.12,38.0,8,2.67,117.6,9.4,census_comprehensive
08127,Area 127,Camden,Area 127 (Camden),65000,15000,1800,0.12,38.0,2,0.67,117.6,9.4,census_comprehensive
08130,Area 130,Camden,Area 130 (Camden),65000,15000,1800,0.12,38.0,6,2.0,117.6,9.4,census_comprehensive
08131,Area 131,Camden,Area 131 (Camden),65000,15000,1800,0.12,38.0,11,3.67,117.6,9.4,census_comprehensive
08133,Area 133,Camden,Area 133 (Camden),65000,15000,1800,0.12,38.0,1,0.33,117.6,9.4,census_comprehensive
08134,Area 134,Camden,Area 134 (Camden),65000,15000,1800,0.12,38.0,12,4.0,117.6,9.4,census_comprehensive
08135,Area 135,Camden,Area 135 (Camden),65000,15000,1800,0.12,38.0,6,2.0,117.6,9.4,census_comprehensive
08140,Area 140,Camden,Area 140 (Camden),65000,15000,1800,0.12,38.0,2,0.67,117.6,9.4,census_comprehensive
08143,Area 143,Camden,Area 143 (Camden),65000,15000,1800,0.12,38.0,4,1.33,117.6,9.4,census_comprehensive
08144,Area 144,Camden,Area 144 (Camden),65000,15000,1800,0.12,38.0,8,2.67,117.6,9.4,census_comprehensive
08145,Area 145,Camden,Area 145 (Camden),65000,15000,1800,0.12,38.0,10,3.33,117.6,9.4,census_comprehensive
08149,Area 149,Camden,Area 149 (Camden),65000,15000,1800,0.12,38.0,4,1.33,117.6,9.4,census_comprehensive
08152,Area 152,Camden,Area 152 (Camden),65000,15000,1800,0.12,38.0,3,1.0,117.6,9.4,census_comprehensive
08153,Area 153,Camden,Area 153 (Camden),65000,15000,1800,0.12,38.0,4,1.33,117.6,9.4,census_comprehensive
08156,Area 156,Camden,Area 156 (Camden),65000,15000,1800,0.12,38.0,4,1.33,117.6,9.4,census_comprehensive
08159,Area 159,Camden,Area 159 (Camden),65000,15000,1800,0.12,38.0,8,2.67,117.6,9.4,census_comprehensive
08161,Area 161,Camden,Area 161 (Camden),65000,15000,1800,0.12,38.0,8,2.67,117.6,9.4,census_comprehensive
08162,Area 162,Camden,Area 162 (Camden),65000,15000,1800,0.12,38.0,1,0.33,117.6,9.4,census_comprehensive
08204,Cape May,Cape May,Cape May (Cape May),80782,16890,1305,0.077,52.2,8,2.37,121.2,7.8,census_comprehensive
08210,Cape May Court House,Cape May,Cape May Court House (Cape May),93855,17278,1599,0.093,43.5,3,0.87,121.2,6.7,census_comprehensive
08212,Cape May Point,Cape May,Cape May Point (Cape May),88333,155,19,0.123,70.9,5,161.29,121.2,7.1,census_comprehensive
